PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31311238","Physical fitness profile in female horseback riders","Hyttinen AM, Häkkinen K.","J Sports Med Phys Fitness. 2019 Dec;59(12):1944-1950. doi: 10.23736/S0022-4707.19.09530-6. Epub 2019 Jul 15.","Hyttinen AM","J Sports Med Phys Fitness","2019","2019/07/18","","","10.23736/S0022-4707.19.09530-6"
"31306302","Resistance Exercise-induced Changes in Muscle Phenotype Are Load Dependent","Lim C, Kim HJ, Morton RW, Harris R, Phillips SM, Jeong TS, Kim CK.","Med Sci Sports Exerc. 2019 Dec;51(12):2578-2585. doi: 10.1249/MSS.0000000000002088.","Lim C","Med Sci Sports Exerc","2019","2019/07/16","","","10.1249/MSS.0000000000002088"
"31272205","Exercise-based cardiac rehabilitation for patients with catheter ablation for persistent atrial fibrillation: A randomized controlled clinical trial","Kato M, Ogano M, Mori Y, Kochi K, Morimoto D, Kito K, Green FN, Tsukamoto T, Kubo A, Takagi H, Tanabe J.","Eur J Prev Cardiol. 2019 Dec;26(18):1931-1940. doi: 10.1177/2047487319859974. Epub 2019 Jul 5.","Kato M","Eur J Prev Cardiol","2019","2019/07/06","","","10.1177/2047487319859974"
"31269004","Exercise Intensity Matters in Chronic Nonspecific Low Back Pain Rehabilitation","Verbrugghe J, Agten A, Stevens S, Hansen D, Demoulin C, O Eijnde B, Vandenabeele F, Timmermans A.","Med Sci Sports Exerc. 2019 Dec;51(12):2434-2442. doi: 10.1249/MSS.0000000000002078.","Verbrugghe J","Med Sci Sports Exerc","2019","2019/07/04","","","10.1249/MSS.0000000000002078"
"31269001","Effect of Altering Body Posture and Barbell Position on the Within-Session Reliability and Magnitude of Force-Time Curve Characteristics in the Isometric Midthigh Pull","Guppy SN, Brady CJ, Kotani Y, Stone MH, Medic N, Haff GG.","J Strength Cond Res. 2019 Dec;33(12):3252-3262. doi: 10.1519/JSC.0000000000003254.","Guppy SN","J Strength Cond Res","2019","2019/07/04","","","10.1519/JSC.0000000000003254"
"31241428","Cancer patients' interest in participating in cancer rehabilitation","Ohlsson-Nevo E, Alkebro I, Ahlgren J.","Acta Oncol. 2019 Dec;58(12):1676-1683. doi: 10.1080/0284186X.2019.1633017. Epub 2019 Jun 26.","Ohlsson-Nevo E","Acta Oncol","2019","2019/06/27","","","10.1080/0284186X.2019.1633017"
"31184539","Effects of Additional Load on the Occurrence of Bilateral Deficit in Counter-Movement and Squat Jumps","Psycharakis SG, Eagle SR, Moir GL, Rawcliffe A, Mckenzie C, Graham SM, Lamont HS, Connaboy C.","Res Q Exerc Sport. 2019 Dec;90(4):461-469. doi: 10.1080/02701367.2019.1617394. Epub 2019 Jun 11.","Psycharakis SG","Res Q Exerc Sport","2019","2019/06/12","","","10.1080/02701367.2019.1617394"
"31136548","Validity and Test-Retest Reliability of the 1080 Quantum System for Bench Press Exercise","Boehringer S, Whyte DG.","J Strength Cond Res. 2019 Dec;33(12):3242-3251. doi: 10.1519/JSC.0000000000003184.","Boehringer S","J Strength Cond Res","2019","2019/05/29","","","10.1519/JSC.0000000000003184"
"31034302","Effects of Eccentric-Focused Versus Conventional Training on Lower Limb Muscular Strength in Older People: A Systematic Review With Meta-Analysis","Molinari T, Steffens T, Roncada C, Rodrigues R, Dias CP.","J Aging Phys Act. 2019 Dec 1;27(4):823-830. doi: 10.1123/japa.2018-0294.","Molinari T","J Aging Phys Act","2019","2019/04/30","","","10.1123/japa.2018-0294"
"31014938","Effect of tele-rehabilitation on glucose control, exercise capacity, physical fitness, muscle strength and psychosocial status in patients with type 2 diabetes: A double blind randomized controlled trial","Duruturk N, Özköslü MA.","Prim Care Diabetes. 2019 Dec;13(6):542-548. doi: 10.1016/j.pcd.2019.03.007. Epub 2019 Apr 20.","Duruturk N","Prim Care Diabetes","2019","2019/04/25","","","10.1016/j.pcd.2019.03.007"
"30941410","A Multidimensional Approach to Assessing Anthropometric and Aerobic Fitness Profiles of Elite Brazilian Endurance Athletes and Military Personnel","Xavier R, Sánchez C, Paulucio D, da Silva IM, Velasque R, Nogueira FS, Ferrini LSG, Dornelas Ribeiro M, Serrato M, Alvarenga R, Pompeu FAMS, Santos CGM.","Mil Med. 2019 Dec 1;184(11-12):875-881. doi: 10.1093/milmed/usz003.","Xavier R","Mil Med","2019","2019/04/04","","","10.1093/milmed/usz003"
"30844989","Ischemic Preconditioning Improves Strength Endurance Performance","Carvalho L, Barroso R.","J Strength Cond Res. 2019 Dec;33(12):3332-3337. doi: 10.1519/JSC.0000000000002846.","Carvalho L","J Strength Cond Res","2019","2019/03/08","","","10.1519/JSC.0000000000002846"
"30844984","Effects of Short-Term In-Season Weightlifting Training on the Muscle Strength, Peak Power, Sprint Performance, and Ball-Throwing Velocity of Male Handball Players","Hermassi S, Schwesig R, Aloui G, Shephard RJ, Chelly MS.","J Strength Cond Res. 2019 Dec;33(12):3309-3321. doi: 10.1519/JSC.0000000000003068.","Hermassi S","J Strength Cond Res","2019","2019/03/08","","","10.1519/JSC.0000000000003068"
"30661187","The effects of same-session combined exercise training on cardiorespiratory and functional fitness in older adults: a systematic review and meta-analysis","Hurst C, Weston KL, McLaren SJ, Weston M.","Aging Clin Exp Res. 2019 Dec;31(12):1701-1717. doi: 10.1007/s40520-019-01124-7. Epub 2019 Jan 19.","Hurst C","Aging Clin Exp Res","2019","2019/01/21","PMC6825647","","10.1007/s40520-019-01124-7"
"30052475","Effects of daily inspiratory muscle training on respiratory muscle strength and chest wall regional volumes in haemodialysis patients: a randomised clinical trial","Medeiros AIC, Brandão DC, Souza RJP, Fuzari HKB, Barros CESR, Barbosa JBN, Leite JC, Cavalcanti FCB, Dornelas de Andrade A, de Melo Marinho PÉ.","Disabil Rehabil. 2019 Dec;41(26):3173-3180. doi: 10.1080/09638288.2018.1485181. Epub 2018 Jul 27.","Medeiros AIC","Disabil Rehabil","2019","2018/07/28","","","10.1080/09638288.2018.1485181"
"29863593","Polarized vs. Threshold Training Intensity Distribution on Endurance Sport Performance: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","Rosenblat MA, Perrotta AS, Vicenzino B.","J Strength Cond Res. 2019 Dec;33(12):3491-3500. doi: 10.1519/JSC.0000000000002618.","Rosenblat MA","J Strength Cond Res","2019","2018/06/05","","","10.1519/JSC.0000000000002618"
"29768096","Lower extremity muscle function of front row rugby union scrummaging","Yaghoubi M, Lark SD, Page WH, Fink PW, Shultz SP.","Sports Biomech. 2019 Dec;18(6):636-648. doi: 10.1080/14763141.2018.1452972. Epub 2018 May 16.","Yaghoubi M","Sports Biomech","2019","2018/05/17","","","10.1080/14763141.2018.1452972"
"31849716","Combined Aerobic and Resistance Training Increases Stretch- Shortening Cycle Potentiation and Walking Economy in Postmenopausal Women","Singh H, Carter SJ, Mathis SL, Bryan DR, Koceja DM, McCarthy JP, Hunter GR.","Front Physiol. 2019 Nov 28;10:1472. doi: 10.3389/fphys.2019.01472. eCollection 2019.","Singh H","Front Physiol","2019","2019/12/19","PMC6892748","","10.3389/fphys.2019.01472"
"31582215","Repeated bouts of resistance exercise attenuate mitogen-activated protein-kinase signal responses in rat skeletal muscle","Takegaki J, Sase K, Fujita S.","Biochem Biophys Res Commun. 2019 Nov 26;520(1):73-78. doi: 10.1016/j.bbrc.2019.09.050. Epub 2019 Sep 30.","Takegaki J","Biochem Biophys Res Commun","2019","2019/10/05","","","10.1016/j.bbrc.2019.09.050"
"31778458","Multicomponent training with different frequencies on body composition and physical fitness in obese children","Alves ASR, Venâncio TL, Honório SAA, Martins JMC.","An Acad Bras Cienc. 2019 Nov 25;91(4):e20181264. doi: 10.1590/0001-3765201920181264. eCollection 2019.","Alves ASR","An Acad Bras Cienc","2019","2019/11/29","","","10.1590/0001-3765201920181264"
"31392999","Home-Based Exercise With Blood Flow Restriction to Improve Quadriceps Muscle and Physical Function After Total Knee Arthroplasty: A Case Report","Kilgas MA, DenHerder AE, Lytle LLM, Williams CT, Elmer SJ.","Phys Ther. 2019 Nov 25;99(11):1495-1500. doi: 10.1093/ptj/pzz110.","Kilgas MA","Phys Ther","2019","2019/08/09","","","10.1093/ptj/pzz110"
"31871788","The Efficacy of Functional and Traditional Exercise on the Body Composition and Determinants of Physical Fitness of Older Women: A Randomized Crossover Trial","de Resende-Neto AG, Aragão-Santos JC, Oliveira-Andrade BC, Silva Vasconcelos AB, De Sá CA, Aidar FJ, DeSantana JM, Cadore EL, Da Silva-Grigoletto ME.","J Aging Res. 2019 Nov 21;2019:5315376. doi: 10.1155/2019/5315376. eCollection 2019.","de Resende-Neto AG","J Aging Res","2019","2019/12/25","PMC6906851","","10.1155/2019/5315376"
"31754845","The Training and Development of Elite Sprint Performance: an Integration of Scientific and Best Practice Literature","Haugen T, Seiler S, Sandbakk Ø, Tønnessen E.","Sports Med Open. 2019 Nov 21;5(1):44. doi: 10.1186/s40798-019-0221-0.","Haugen T","Sports Med Open","2019","2019/11/23","PMC6872694","","10.1186/s40798-019-0221-0"
"31753876","Assessing the feasibility and impact of specially adapted exercise interventions, aimed at improving the multi-dimensional health and functional capacity of frail geriatric hospital inpatients: protocol for a feasibility study","Doody P, Lord JM, Greig CA, Whittaker AC.","BMJ Open. 2019 Nov 21;9(11):e031159. doi: 10.1136/bmjopen-2019-031159.","Doody P","BMJ Open","2019","2019/11/23","PMC6886909","","10.1136/bmjopen-2019-031159"
"31751937","Recovery Kinetics After Speed-Endurance Training in Male Soccer Players","Tzatzakis T, Papanikolaou K, Draganidis D, Tsimeas P, Kritikos S, Poulios A, Laschou VC, Deli CK, Chatzinikolaou A, Batrakoulis A, Basdekis G, Mohr M, Krustrup P, Jamurtas AZ, Fatouros IG.","Int J Sports Physiol Perform. 2019 Nov 21:1-14. doi: 10.1123/ijspp.2018-0984. Online ahead of print.","Tzatzakis T","Int J Sports Physiol Perform","2019","2019/11/22","","","10.1123/ijspp.2018-0984"
"31824336","Effects of Pre-exhaustion Versus Traditional Resistance Training on Training Volume, Maximal Strength, and Quadriceps Hypertrophy","Trindade TB, Prestes J, Neto LO, Medeiros RMV, Tibana RA, de Sousa NMF, Santana EE, Cabral BGAT, Stone WJ, Dantas PMS.","Front Physiol. 2019 Nov 19;10:1424. doi: 10.3389/fphys.2019.01424. eCollection 2019.","Trindade TB","Front Physiol","2019","2019/12/12","PMC6882301","","10.3389/fphys.2019.01424"
"31744521","Effect of Bang® Pre-Workout Master Blaster® combined with four weeks of resistance training on lean body mass, maximal strength, mircoRNA expression, and serum IGF-1 in men: a randomized, double-blind, placebo-controlled trial","Schwarz NA, McKinley-Barnard SK, Blahnik ZJ.","J Int Soc Sports Nutr. 2019 Nov 19;16(1):54. doi: 10.1186/s12970-019-0310-y.","Schwarz NA","J Int Soc Sports Nutr","2019","2019/11/21","PMC6862793","","10.1186/s12970-019-0310-y"
"31752246","Specific Eccentric-Isokinetic Cluster Training Improves Static Strength Elements on Rings for Elite Gymnasts","Schärer C, Tacchelli L, Göpfert B, Gross M, Lüthy F, Taube W, Hübner K.","Int J Environ Res Public Health. 2019 Nov 18;16(22):4571. doi: 10.3390/ijerph16224571.","Schärer C","Int J Environ Res Public Health","2019","2019/11/23","PMC6888498","","10.3390/ijerph16224571"
"30958067","Is Tensiomyography-Derived Velocity of Contraction a Sensitive Marker to Detect Acute Performance Changes in Elite Team-Sport Athletes?","Pereira LA, Ramirez-Campillo R, Martín-Rodríguez S, Kobal R, Abad CCC, Arruda AFS, Guerriero A, Loturco I.","Int J Sports Physiol Perform. 2019 Nov 18:1-7. doi: 10.1123/ijspp.2018-0959. Online ahead of print.","Pereira LA","Int J Sports Physiol Perform","2019","2019/04/09","","","10.1123/ijspp.2018-0959"
"31731726","In-Season Weightlifting Training Exercise in Healthy Male Handball Players: Effects on Body Composition, Muscle Volume, Maximal Strength, and Ball-Throwing Velocity","Hermassi S, Chelly MS, Bragazzi NL, Shephard RJ, Schwesig R.","Int J Environ Res Public Health. 2019 Nov 15;16(22):4520. doi: 10.3390/ijerph16224520.","Hermassi S","Int J Environ Res Public Health","2019","2019/11/17","PMC6888376","","10.3390/ijerph16224520"
"31352122","Higher striatal D2-receptor availability in aerobically fit older adults but non-selective intervention effects after aerobic versus resistance training","Jonasson LS, Nyberg L, Axelsson J, Kramer AF, Riklund K, Boraxbekk CJ.","Neuroimage. 2019 Nov 15;202:116044. doi: 10.1016/j.neuroimage.2019.116044. Epub 2019 Jul 26.","Jonasson LS","Neuroimage","2019","2019/07/29","","","10.1016/j.neuroimage.2019.116044"
"31727085","The effects of deep neck muscle-specific training versus general exercises on deep neck muscle thickness, pain and disability in patients with chronic non-specific neck pain: protocol for a randomized clinical trial (RCT)","Kashfi P, Karimi N, Peolsson A, Rahnama L.","BMC Musculoskelet Disord. 2019 Nov 14;20(1):540. doi: 10.1186/s12891-019-2880-x.","Kashfi P","BMC Musculoskelet Disord","2019","2019/11/16","PMC6857347","","10.1186/s12891-019-2880-x"
"31206582","Perioperative prehabilitation and rehabilitation in esophagogastric malignancies: a systematic review","Bolger JC, Loughney L, Tully R, Cunningham M, Keogh S, McCaffrey N, Hickey W, Robb WB.","Dis Esophagus. 2019 Nov 13;32(9):doz058. doi: 10.1093/dote/doz058.","Bolger JC","Dis Esophagus","2019","2019/06/18","","","10.1093/dote/doz058"
"31908746","""NO LOAD"" resistance training increases functional capacity and muscle size in hospitalized female patients: A pilot study","Barbalho M, Coswig VS, Bottaro M, de Lira CAB, Campos MH, Vieira CA, Gentil P.","Eur J Transl Myol. 2019 Nov 12;29(4):8492. doi: 10.4081/ejtm.2019.8492. eCollection 2019 Oct 29.","Barbalho M","Eur J Transl Myol","2019","2020/01/08","PMC6926436","","10.4081/ejtm.2019.8492"
"31710635","Acute low- compared to high-load resistance training to failure results in greater energy expenditure during exercise in healthy young men","Brunelli DT, Finardi EAR, Bonfante ILP, Gáspari AF, Sardeli AV, Souza TMF, Chacon-Mikahil MPT, Cavaglieri CR.","PLoS One. 2019 Nov 11;14(11):e0224801. doi: 10.1371/journal.pone.0224801. eCollection 2019.","Brunelli DT","PLoS One","2019","2019/11/12","PMC6844472","","10.1371/journal.pone.0224801"
"31717533","Relationship between Cyclic and Non-Cyclic Force-Velocity Characteristics in BMX Cyclists","Gross M, Gross T.","Sports (Basel). 2019 Nov 9;7(11):232. doi: 10.3390/sports7110232.","Gross M","Sports (Basel)","2019","2019/11/14","PMC6915637","","10.3390/sports7110232"
"31721936","Does whole-body electrical muscle stimulation combined with strength training promote morphofunctional alterations?","Evangelista AL, Teixeira CVS, Barros BM, de Azevedo JB, Paunksnis MRR, Souza CR, Wadhi T, Rica RL, Braz TV, Bocalini DS.","Clinics (Sao Paulo). 2019 Nov 7;74:e1334. doi: 10.6061/clinics/2019/e1334. eCollection 2019.","Evangelista AL","Clinics (Sao Paulo)","2019","2019/11/14","PMC6820510","","10.6061/clinics/2019/e1334"
"31703468","Can Heart Rate Variability Determine Recovery Following Distinct Strength Loadings? A Randomized Cross-Over Trial","Thamm A, Freitag N, Figueiredo P, Doma K, Rottensteiner C, Bloch W, Schumann M.","Int J Environ Res Public Health. 2019 Nov 7;16(22):4353. doi: 10.3390/ijerph16224353.","Thamm A","Int J Environ Res Public Health","2019","2019/11/10","PMC6888606","","10.3390/ijerph16224353"
"31694237","Effects of Endurance and Endurance-Strength Training on Endothelial Function in Women with Obesity: A Randomized Trial","Ratajczak M, Skrypnik D, Bogdański P, Mądry E, Walkowiak J, Szulińska M, Maciaszek J, Kręgielska-Narożna M, Karolkiewicz J.","Int J Environ Res Public Health. 2019 Nov 5;16(21):4291. doi: 10.3390/ijerph16214291.","Ratajczak M","Int J Environ Res Public Health","2019","2019/11/08","PMC6862069","","10.3390/ijerph16214291"
"31690049","The Effect of Caffeine on the Velocity of Half-Squat Exercise during the Menstrual Cycle: A Randomized Controlled Trial","Romero-Moraleda B, Del Coso J, Gutiérrez-Hellín J, Lara B.","Nutrients. 2019 Nov 4;11(11):2662. doi: 10.3390/nu11112662.","Romero-Moraleda B","Nutrients","2019","2019/11/07","PMC6893702","","10.3390/nu11112662"
"31793459","Identification of the force-velocity curve on dynamic resistance exercise for rats","Santana HAP, Miotto H, Silva KKS, Dellagrana RA, Almeida JA.","Chin J Physiol. 2019 Nov-Dec;62(6):241-244. doi: 10.4103/CJP.CJP_49_19.","Santana HAP","Chin J Physiol","2019","2019/12/04","","","10.4103/CJP.CJP_49_19"
"31762415","[Pulmonary Rehabilitation]","Frey M.","Ther Umsch. 2019 Nov;76(6):323-327. doi: 10.1024/0040-5930/a001099.","Frey M","Ther Umsch","2019","2019/11/26","","","10.1024/0040-5930/a001099"
"31725606","Overground exoskeletons may boost neuroplasticity in myotonic dystrophy type 1 rehabilitation: A case report","Portaro S, Naro A, Leo A, Cimino V, Balletta T, Buda A, Accorinti M, Calabrò RS.","Medicine (Baltimore). 2019 Nov;98(46):e17582. doi: 10.1097/MD.0000000000017582.","Portaro S","Medicine (Baltimore)","2019","2019/11/15","PMC6867720","","10.1097/MD.0000000000017582"
"31689771","Effects of a 12-week resistance and aerobic exercise program on muscular strength and quality of life in breast cancer survivors: Study protocol for the EFICAN randomized controlled trial","Soriano-Maldonado A, Carrera-Ruiz Á, Díez-Fernández DM, Esteban-Simón A, Maldonado-Quesada M, Moreno-Poza N, García-Martínez MDM, Alcaraz-García C, Vázquez-Sousa R, Moreno-Martos H, Toro-de-Federico A, Hachem-Salas N, Artés-Rodríguez E, Rodríguez-Pérez MA, Casimiro-Andújar AJ.","Medicine (Baltimore). 2019 Nov;98(44):e17625. doi: 10.1097/MD.0000000000017625.","Soriano-Maldonado A","Medicine (Baltimore)","2019","2019/11/07","PMC6946307","","10.1097/MD.0000000000017625"
"31688513","""Get a Grip on Hypertension"": EXPLORING THE USE OF ISOMETRIC HANDGRIP TRAINING IN CARDIOPULMONARY REHABILITATION PATIENTS","Gordon BDH, Whitmire S, Zacherle EW, Doyle S, Gulati S, Leamy LJ, Marino JS, Bennett JM, Reitzel AM, Swaine IL, Howden R.","J Cardiopulm Rehabil Prev. 2019 Nov;39(6):E31-E34. doi: 10.1097/HCR.0000000000000468.","Gordon BDH","J Cardiopulm Rehabil Prev","2019","2019/11/06","","","10.1097/HCR.0000000000000468"
"31682588","The Effects of Resistance Exercise With Blood Flow Restriction on Flow-Mediated Dilation and Arterial Stiffness in Elderly People With Low Gait Speed: Protocol for a Randomized Controlled Trial","Amorim S, Degens H, Passos Gaspar A, De Matos LDNJ.","JMIR Res Protoc. 2019 Nov 1;8(11):e14691. doi: 10.2196/14691.","Amorim S","JMIR Res Protoc","2019","2019/11/05","PMC6858612","","10.2196/14691"
"31666157","Psychophysiological Intervention to Improve Preparedness in Military Special Operations Forces","Tornero-Aguilera JF, Pelarigo JG, Clemente-Suárez VJ.","Aerosp Med Hum Perform. 2019 Nov 1;90(11):953-958. doi: 10.3357/AMHP.5385.2019.","Tornero-Aguilera JF","Aerosp Med Hum Perform","2019","2019/11/01","","","10.3357/AMHP.5385.2019"
"31644516","Three-Year Longitudinal Fitness Tracking in Top-Level Competitive Youth Ice Hockey Players","Cordingley DM, Sirant L, MacDonald PB, Leiter JR.","J Strength Cond Res. 2019 Nov;33(11):2909-2912. doi: 10.1519/JSC.0000000000003379.","Cordingley DM","J Strength Cond Res","2019","2019/10/24","","","10.1519/JSC.0000000000003379"
"31626055","Exercise Guidelines for Cancer Survivors: Consensus Statement from International Multidisciplinary Roundtable","Campbell KL, Winters-Stone KM, Wiskemann J, May AM, Schwartz AL, Courneya KS, Zucker DS, Matthews CE, Ligibel JA, Gerber LH, Morris GS, Patel AV, Hue TF, Perna FM, Schmitz KH.","Med Sci Sports Exerc. 2019 Nov;51(11):2375-2390. doi: 10.1249/MSS.0000000000002116.","Campbell KL","Med Sci Sports Exerc","2019","2019/10/19","PMC8576825","NIHMS1740971","10.1249/MSS.0000000000002116"
"31607623","Physical Condition, Glycemia, Liver Function, and Quality of Life in Liver Transplant Recipients After a 12-Month Supervised Exercise Program","Totti V, Tamè M, Burra P, Mosconi G, Roi GS, Sella G, Ermolao A, Ferrarese A, Sgarzi S, Savino G, Parodi G, Poggioli G, Ricchiuti A, Di Michele R, Trerotola M, Nanni Costa A.","Transplant Proc. 2019 Nov;51(9):2952-2957. doi: 10.1016/j.transproceed.2019.03.087. Epub 2019 Oct 10.","Totti V","Transplant Proc","2019","2019/10/15","","","10.1016/j.transproceed.2019.03.087"
"31592929","The Effects of a 10-wk Outpatient Pulmonary Rehabilitation Program on Exercise Performance, Muscle Strength, Soluble Biomarkers, and Quality of Life in Patients With Pulmonary Hypertension","Koudstaal T, Wapenaar M, van Ranst D, Beesems R, van den Toorn L, van den Bosch A, Chandoesing P, Boomars K.","J Cardiopulm Rehabil Prev. 2019 Nov;39(6):397-402. doi: 10.1097/HCR.0000000000000443.","Koudstaal T","J Cardiopulm Rehabil Prev","2019","2019/10/09","","","10.1097/HCR.0000000000000443"
"31592623","The Effect of Carbohydrate Ingestion Following Eccentric Resistance Exercise on AKT/mTOR and ERK Pathways: A Randomized, Double-Blinded, Crossover Study","Figueiredo VC, Farnfield MM, Ross MLR, Gran P, Halson SL, Peake JM, Cameron-Smith D, Markworth JF.","Int J Sport Nutr Exerc Metab. 2019 Nov 1;29(6):664-670. doi: 10.1123/ijsnem.2019-0075.","Figueiredo VC","Int J Sport Nutr Exerc Metab","2019","2019/10/09","","","10.1123/ijsnem.2019-0075"
"31588872","Endurance training remodels skeletal muscle phospholipid composition and increases intrinsic mitochondrial respiration in men with Type 2 diabetes","Pino MF, Stephens NA, Eroshkin AM, Yi F, Hodges A, Cornnell HH, Pratley RE, Smith SR, Wang M, Han X, Coen PM, Goodpaster BH, Sparks LM.","Physiol Genomics. 2019 Nov 1;51(11):586-595. doi: 10.1152/physiolgenomics.00014.2019. Epub 2019 Oct 7.","Pino MF","Physiol Genomics","2019","2019/10/08","","","10.1152/physiolgenomics.00014.2019"
"31543178","Resistance Training for Older Adults in Cardiac Rehabilitation","Khadanga S, Savage PD, Ades PA.","Clin Geriatr Med. 2019 Nov;35(4):459-468. doi: 10.1016/j.cger.2019.07.005. Epub 2019 Jul 3.","Khadanga S","Clin Geriatr Med","2019","2019/09/24","PMC8237336","NIHMS1533573","10.1016/j.cger.2019.07.005"
"31518665","Low skeletal muscle capillarization limits muscle adaptation to resistance exercise training in older adults","Moro T, Brightwell CR, Phalen DE, McKenna CF, Lane SJ, Porter C, Volpi E, Rasmussen BB, Fry CS.","Exp Gerontol. 2019 Nov;127:110723. doi: 10.1016/j.exger.2019.110723. Epub 2019 Sep 10.","Moro T","Exp Gerontol","2019","2019/09/14","PMC6904952","NIHMS1544322","10.1016/j.exger.2019.110723"
"31513877","Effects of stepping exergames under stable versus unstable conditions on balance and strength in healthy community-dwelling older adults: A three-armed randomized controlled trial","Morat M, Bakker J, Hammes V, Morat T, Giannouli E, Zijlstra W, Donath L.","Exp Gerontol. 2019 Nov;127:110719. doi: 10.1016/j.exger.2019.110719. Epub 2019 Sep 9.","Morat M","Exp Gerontol","2019","2019/09/13","","","10.1016/j.exger.2019.110719"
"31513450","Cold water immersion attenuates anabolic signaling and skeletal muscle fiber hypertrophy, but not strength gain, following whole-body resistance training","Fyfe JJ, Broatch JR, Trewin AJ, Hanson ED, Argus CK, Garnham AP, Halson SL, Polman RC, Bishop DJ, Petersen AC.","J Appl Physiol (1985). 2019 Nov 1;127(5):1403-1418. doi: 10.1152/japplphysiol.00127.2019. Epub 2019 Sep 12.","Fyfe JJ","J Appl Physiol (1985)","2019","2019/09/13","","","10.1152/japplphysiol.00127.2019"
"31508978","Revisiting the roles of protein synthesis during skeletal muscle hypertrophy induced by exercise","Figueiredo VC.","Am J Physiol Regul Integr Comp Physiol. 2019 Nov 1;317(5):R709-R718. doi: 10.1152/ajpregu.00162.2019. Epub 2019 Sep 11.","Figueiredo VC","Am J Physiol Regul Integr Comp Physiol","2019","2019/09/12","","","10.1152/ajpregu.00162.2019"
"31505227","Effects of resistance training concentric velocity on older adults' functional capacity: A systematic review and meta-analysis of randomised trials","da Rosa Orssatto LB, de la Rocha Freitas C, Shield AJ, Silveira Pinto R, Trajano GS.","Exp Gerontol. 2019 Nov;127:110731. doi: 10.1016/j.exger.2019.110731. Epub 2019 Sep 7.","da Rosa Orssatto LB","Exp Gerontol","2019","2019/09/11","","","10.1016/j.exger.2019.110731"
"31499400","People with patellofemoral pain have impaired functional performance, that is correlated to hip muscle capacity","Nunes GS, de Oliveira Silva D, Crossley KM, Serrão FV, Pizzari T, Barton CJ.","Phys Ther Sport. 2019 Nov;40:85-90. doi: 10.1016/j.ptsp.2019.08.010. Epub 2019 Aug 27.","Nunes GS","Phys Ther Sport","2019","2019/09/10","","","10.1016/j.ptsp.2019.08.010"
"31487749","Periodized versus Non-periodized Stretch Training on Gymnasts Flexibility and Performance","Lima CD, Brown LE, Li Y, Herat N, Behm D.","Int J Sports Med. 2019 Nov;40(12):779-788. doi: 10.1055/a-0942-7571. Epub 2019 Sep 5.","Lima CD","Int J Sports Med","2019","2019/09/06","","","10.1055/a-0942-7571"
"31479035","Comparative effects of high-intensity interval training with combined training on physical function markers in obese postmenopausal women: a randomized controlled trial","Nunes PRP, Martins FM, Souza AP, Carneiro MAS, Nomelini RS, Michelin MA, Murta EFC, de Oliveira EP, Orsatti FL.","Menopause. 2019 Nov;26(11):1242-1249. doi: 10.1097/GME.0000000000001399.","Nunes PRP","Menopause","2019","2019/09/04","","","10.1097/GME.0000000000001399"
"31476783","Concurrent Training and Detraining: brief Review on the Effect of Exercise Intensities","Sousa AC, Neiva HP, Izquierdo M, Cadore EL, Alves AR, Marinho DA.","Int J Sports Med. 2019 Nov;40(12):747-755. doi: 10.1055/a-0975-9471. Epub 2019 Sep 2.","Sousa AC","Int J Sports Med","2019","2019/09/03","","","10.1055/a-0975-9471"
"31470356","Lower limb musculoskeletal screening in elite female Australian football players","Mentiplay BF, Mosler AB, Crossley KM, Carey DL, Sakadjian K, Bodger R, Shipperd B, Bruder AM.","Phys Ther Sport. 2019 Nov;40:33-43. doi: 10.1016/j.ptsp.2019.08.005. Epub 2019 Aug 14.","Mentiplay BF","Phys Ther Sport","2019","2019/08/31","","","10.1016/j.ptsp.2019.08.005"
"31469764","Intrasession and Intersession Reliability of Countermovement Jump Testing in Division-I Volleyball Athletes","Carroll KM, Wagle JP, Sole CJ, Stone MH.","J Strength Cond Res. 2019 Nov;33(11):2932-2935. doi: 10.1519/JSC.0000000000003353.","Carroll KM","J Strength Cond Res","2019","2019/08/31","","","10.1519/JSC.0000000000003353"
"31466083","Suspended Push-up Training Augments Size of not only Upper Limb but also Abdominal Muscles","Kohiruimaki R, Maeo S, Kanehisa H.","Int J Sports Med. 2019 Nov;40(12):789-795. doi: 10.1055/a-0989-2482. Epub 2019 Aug 29.","Kohiruimaki R","Int J Sports Med","2019","2019/08/30","","","10.1055/a-0989-2482"
"31357915","Inspiratory muscle training effects on oxygen saturation and performance in hypoxemic rowers: Effect of sex","Riganas C, Papadopoulou Z, Margaritelis NV, Christoulas K, Vrabas IS.","J Sports Sci. 2019 Nov;37(22):2513-2521. doi: 10.1080/02640414.2019.1646582. Epub 2019 Jul 29.","Riganas C","J Sports Sci","2019","2019/07/31","","","10.1080/02640414.2019.1646582"
"31354059","Reliability of force-velocity parameters obtained from linear and curvilinear regressions for the bench press and squat exercises","Iglesias-Soler E, Mayo X, Rial-Vázquez J, Morín-Jiménez A, Aracama A, Guerrero-Moreno JM, Jaric S.","J Sports Sci. 2019 Nov;37(22):2596-2603. doi: 10.1080/02640414.2019.1648993. Epub 2019 Jul 28.","Iglesias-Soler E","J Sports Sci","2019","2019/07/30","","","10.1080/02640414.2019.1648993"
