Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Effects of downhill walking training on aerobic and neuromuscular fitness of young adults.","Rabello de Lima, Leonardo Coelho; Pires de Oliveira, Thiago; Dias de Oliveira, Felipe Bruno; Azank dos Santos, Fernanda Fioravanti; de Oliveira Assumpção, Claudio; Greco, Camila Coelho; Denadai, Benedito Sérgio","Brazilian Journal of Kineanthropometry & Human Performance",="14158426",,="20150901","17","5","539","11","110454469",,,"Article","ISOMETRIC exercise; LEG; MUSCLE strength; TORQUE; WALKING; AEROBIC capacity; PLANTARFLEXION; ADULTS",,"Eccentric exercise training using low intensity-high volume approach has been performed to improve maximal muscle strength and power. The aim of this study was to compare the effects of short-term downhill walking and level walking training on lower limb strength and maximal oxygen uptake of active individuals. Eighteen young adults were divided into level walking group (n = 9) or downhill walking training group (n = 9). Both groups performed a four-week training program. The level walking group performed seven level walking sessions per week, while the downhill walking group walked downhill (-16%) in the same weekly frequency. One week before and one week after the training protocol, maximal oxygen uptake, muscle-bone cross-sectional area and isometric peak torque of knee extensors and plantar flexors were assessed for both groups. A significant group vs. time interaction was found only for cross sectional area of plantar flexors (PF), showing increases for the downhill walking group (112.6 ± 28.9 cm² vs. 115.9 ± 29 cm²) but not for the level walking group (94.9 ± 23.3 cm²vs. 94.6 ± 228 cm²). Maximal oxygen uptake remained unaltered after training for both groups and IPT was increased after training for both groups. It was concluded that short-term downhill walking training does not seem to be efficient in promoting improvements in cardiorrespiratory fitness of young adults. However, it seems to promote gains in some variables related to neuromuscular fitness. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=110454469&site=ehost-live"
"Effects of dryland resistance interval training on aerobic capacity, blood lactate, and muscle fatigue in age-group swimmers.","Castle, J.M.",,,,="19940101",,,,,"SPH357884",,"University Microfilms International","Thesis or dissertation","ENERGY metabolism; SWIMMING; TRAINING; AEROBIC capacity; LACTATES; MUSCLES; FATIGUE; CHILDREN; TEENAGERS",,,"https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPH357884&site=ehost-live"
"Effects of eight weeks of TRX versus traditional resistance training on physical fitness factors and extremities perimeter of non-athlete underweight females.","Arazi, Hamid; Malakoutinia, Fatemeh; Izadi, Mani","Physical Activity Review",="23005076",,="20180101","6",,"73","8","139312071",,,"Article","RESISTANCE training; PHYSICAL fitness; EXTREMITIES (Anatomy); RANGE of motion of joints; THIGH",,"Introduction: New form of suspension training (TRX) has been introduced which has the ability to develop physical fitness factors. The aim of this study was to compare the effects of eight weeks of resistance training by traditional and TRX methods on physical fitness factors and extremities perimeter of non-athlete underweight girls. Material and methods: Thirty non-athlete underweight female students qualified with an average age of 23±1.64 years, weight of 43.53±0.28 kg, height of 162.66±6.6 cm and BMI of 16.31±0.2 kg/m² were selected and randomly assigned into three groups of 10 subjects (traditional, TRX and control). Participants performed training of 3 sessions per week for eight weeks. Before and after the period of training, physical fitness variables including muscular strength and endurance, flexibility, thigh and arm circumferences were measured. Results: The results showed that both forms of training had a significant effect on muscular strength and endurance. There was no significant difference in flexibility and thigh and arm circumferences. Conclusion: It can be concluded, that the traditional and TRX training have created almost same improvements in physical fitness factors, so TRX training can be considered an efficient choice to do alongside traditional training or as its alternative in order to earn desired training achievements. It is noteworthy that when training goal is to enhance muscular strength and endurance especially in upper-body, TRX training appears to be accompanied by greater gains compared to traditional resistance training. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=139312071&site=ehost-live"
"EFFECTS OF ELBOW FLEXOR MUSCLE RESISTANCE TRAINING ON STRENGTH, ENDURANCE AND PERCEIVED EXERTION.","GONÇALVES, MAURO; SOUZA CASTELO OLIVEIRA, ANDERSON","Human Movement",="17323991",,="20130601","14","2","110","6","90238277",,,"Article","FLEXOR muscles; ELBOW; RESISTANCE training; ELECTROMYOGRAPHY; ISOMETRIC exercise",,"Purpose. To verify the effects of resistance training at the electromyographic fatigue threshold (EMG17) based on one-repetition maximum strength (1RM), heart rate (HR), rate of perceived exertion (PE) and endurance time (EndT). Methods. Nineteen subjects (training group [TG]: n = 10; control group [CG]: n = 9), performed 1-mm bicep curl exercises sets at 25%, 30%, 35% and 40% 1RM. Electromyography (biceps brachii and brachiorradialis), HR and PE were registered. Biceps brachii EMGFT was used to create a load index for an eight-week resistance training programme (three sets until exhaustion/session, two sessions/week) for the TG. The CG only attended one session in the first week and another session in the last week of the eight-week training period for EndT measurement. EndT was determined from the number of repetitions of each of the three sets performed in the first and last training sessions. After training, 1RM, EMGFT, EndT, HR and PE at the different bicep curl load intensities were again measured for both groups. Results. Increases in 1RM (5.9%, p < 0.05) and EndT (> 60%, p < 0.001) after training were found. In addition, PE was reduced at all load intensities (p < 0.05), while no changes were found for HR and EMGFT after training. Conclusions. Strength-endurance training based on the EMGFT improved muscular endurance and also, to a lesser extent, muscular strength. Moreover, the reduced levels of physical exertion after training at the same intensity suggest that endurance training exercises may improve comfort while performing strength exercises. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=90238277&site=ehost-live"
"Effects of electrostimulation and plyometric training program combination on jump height in teenage athletes.","Martínez-López, Emilio J.; Benito-Martínez, Elisa; Hita-Contreras, Fidel; Lara-Sánchez, Amador; Martínez-Amat, Antonio","Journal of Sports Science & Medicine",="13032968",,="20121201","11","4","727","9","89430417",,,"Article","ELECTRIC stimulation; PLYOMETRICS; JUMPING; TEENAGERS; ATHLETES; HEIGHT measurement",,"The purpose of this study was to examine the effects of eightweek (2 days/week) training periods of plyometric exercises (PT) and neuromuscular electrostimulation (EMS) on jump height in young athletes. Squat jump (SJ), counter movement jump (CMJ) and drop jump (DJ) were performed to assess the effects of the training protocols 98 athletes (100 & 200m and 100m & 110m hurdles) voluntarily took part in this study, 51 males (52%) and 47 females (48%), 17.91 ± 1.42 years old, and 5.16 ± 2.56 years of training experience. The participants were randomly assigned to four different groups according to the frequency and the timing of the stimulation. Analysis of covariance was used to analyze the effects of every training program on jump height. Our findings suggest that compared to control (Plyometrics (PT) only), the combination of 150Hz EMS + PT simultaneously combined in an 8 week (2days/week) training program, we could observe significant jump height improvements in the different types of strength: explosive, explosiveelastic, and explosive-elastic-reactive. The combination of PT after ⩽ 85 Hz EMS did not show any jump height significant increase in sprinters. In conclusion, an eight week training program (with just two days per week) of EMS combined with plyometric exercises has proven useful for the improvement of every kind of vertical jump ability required for sprint and hurdles disciplines in teenage athletes. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=89430417&site=ehost-live"
"Effects of endurance training on insulin action in dietary obese rats.","Wang, C.; Yang, X.; Liu, Y.","Chinese Journal of Sports Medicine",="10006710",,="19980101","17","1","16","4","SPHS-19019",,,"Article","ADIPOSE tissues; INSULIN; PHYSICAL fitness; TRAINING; OBESITY; FAT; RATS",,"This study was to clarify the effects of endurance training on insulin action in dietary obese rats. 36 of 44 male weaning SD rats were fed with a high fat diet for 10 weeks, of which 18 rats became dietary obese (DIO). 8 DIO rats underwent endurance training with treadmill (65-75 percent VO2max). All rats continued feeding for another 8 weeks. Plasma insulin, glucose load, and plasma membrane insulin receptor binding radiommunoassay and radioligand receptor assay in the rats were determined. Results showed that hyperinsulinemia, low insulin sensitivity and insulin resistance appeared, the area below plasma insulin secretary curve and insulin peak value of glucose load were increased, and the insulin receptor binding decreased in DIO rats. Endurance training could abate insulin resistance, enhance insulin sensitivity and lower the level of hyperinsulinemia through increasing insulin receptor binding in hepatocytes, adipocytes and white myocytes membranes. It was demonstrated that hyperinsulinemia, low insulin sensitivity and insulin resistance were the characteristics of DIO rats, and endurance training was the effective measure for reducing body fat by modifying metabolic disorder in DIO rats.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPHS-19019&site=ehost-live"
"Effects of endurance training only versus same-session combined endurance and strength training on physical performance and serum hormone concentrations in recreational endurance runners.","Schumann, Moritz; Mykkänen, Olli-Pekka; Doma, Kenji; Mazzolari, Raffaele; Nyman, Kai; Häkkinen, Keijo","Applied Physiology, Nutrition & Metabolism",="17155312",,="20150101","40","1","28","9","100238054",,,"Article","EXERCISE; PHYSICAL training & conditioning; ATHLETIC ability; HORMONES; MUSCLE strength; PHYSICAL fitness; RECREATION; RUNNING; ANALYSIS of covariance; ANALYSIS of variance; COMBINED modality therapy; STATISTICAL correlation; MULTIVARIATE analysis; QUESTIONNAIRES; RESEARCH funding; STATISTICS; DATA analysis software; DESCRIPTIVE statistics",,"This study investigated the effects of endurance training only (E, n = 14) and same-session combined training, when strength training is repeatedly preceded by endurance loading (endurance and strength training (E+S), n = 13) on endurance (1000-m running time during incremental field test) and strength performance (1-repetition maximum (1RM) in dynamic leg press), basal serum hormone concentrations, and endurance loading-induced force and hormone responses in recreationally endurance-trained men. E was identical in the 2 groups and consisted of steady-state and interval running, 4-6 times per week for 24 weeks. E+S performed additional mixed-maximal and explosive-strength training (2 times per week) immediately following an incremental running session (35-45 min, 65%-85% maximal heart rate). E and E+S decreased running time at week 12 (-8% ± 5%, p = 0.001 and -7% ± 3%, p < 0.001) and 24 (-13% ± 5%, p < 0.001 and -9% ± 5%, p = 0.001). Strength performance decreased in E at week 24 (-5% ± 5%, p = 0.014) but was maintained in E+S (between-groups at week 12 and 24, p = 0.014 and 0.011, respectively). Basal serum testosterone and cortisol concentrations remained unaltered in E and E+S but testosterone/sex hormone binding globulin ratio decreased in E+S at week 12 (-19% ± 26%, p = 0.006). At week 0 and 24, endurance loading-induced acute force (-5% to -9%, p = 0.032 to 0.001) and testosterone and cortisol responses (18%-47%, p = 0.013 to p < 0.001) were similar between E and E+S. This study showed no endurance performance benefits when strength training was performed repeatedly after endurance training compared with endurance training only. This was supported by similar acute responses in force and hormonal measures immediately post-endurance loading after the training with sustained 1RM strength in E+S. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=100238054&site=ehost-live"
"Effects of exercise in patients with connective tissue disease receiving high-dose glucocorticoids: A pilot prospective cohort study.","Nagashima, Masaaki; Takahashi, Daiki; Mizushima, Takashi; Yamauchi, Katsuya","European Journal of Applied Physiology",="14396319",,="20210801","121","8","2253","11","151271793",,,"Article","EXERCISE therapy; AEROBIC capacity; AEROBIC exercises; STRENGTH training; CONNECTIVE tissue diseases",,"Purpose: High doses of glucocorticoids induce skeletal muscle weakness. The aim of this study was to evaluate the effects of exercise therapy on skeletal muscle strength, mass, and exercise capacity in patients with connective tissue disease treated with high doses of glucocorticoids. Methods: This prospective, observational, single-center, cohort study included 35 patients aged ≥ 15 years diagnosed with connective tissue disease who received high-dose glucocorticoids and physical training. Exercise therapy, including moderate aerobic and strength training, was performed five times a week. Knee extension strength, skeletal muscle mass, anaerobic threshold, and peak oxygen consumption were measured at the beginning of exercise therapy and at discharge. Results: After 6 weeks of aerobic and strength exercises, skeletal muscle mass significantly decreased by 5.5%, right knee extension decreased by 11.6%, and left knee extension decreased by 9.7%. The anaerobic threshold and peak oxygen consumption significantly increased by 13.0% and 9.0%, respectively. The increase in glucocorticoid dose was inversely correlated with changes in knee extension strength. Conclusion: In patients with connective tissue disease being treated with high-dose glucocorticoids, exercise therapy might attenuate the decrease in skeletal muscle mass and strength and increase the anaerobic threshold and peak oxygen consumption, thus moderating the side effects of high-dose glucocorticoid treatment. Trial registration The trial is registered with UMIN (University Hospital Medical Information Network), ID number UMIN000038836. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=151271793&site=ehost-live"
"Effects of Exercise Interventions on Aerobic Capacity and Health-Related Quality of Life in People Living With HIV/AIDS: Systematic Review and Network Meta-Analysis.","Gomes-Neto, Mansueto; Saquetto, Micheli Bernardone; Alves, Iura Gonzalez; Martinez, Bruno Prata; Vieira, João Paulo B; Brites, Carlos","PTJ: Physical Therapy & Rehabilitation Journal",,,="20210701","101","7","1","11","151797413",,,"Article","AEROBIC capacity; MEDICAL care; OXYGEN consumption; QUALITY of life; MEDLINE; AIDS; EXERCISE therapy; ONLINE information services; META-analysis; CONFIDENCE intervals; INFORMATION storage & retrieval systems; SYSTEMATIC reviews",,"Objective Exercise is a recommended component of care for people living with HIV/AIDS; however, it is unclear which type of exercise is most effective. The purpose of this study was to investigate the relative effects of different types of exercise interventions on aerobic capacity measured by peak oxygen consumption (peak VO2) and health-related quality of life (HRQoL) in this population. Methods For this systematic review and indirect-comparisons meta-analysis (network meta-analysis), different electronic databases were searched up to February 2020 for randomized controlled trials that evaluated the effects of different types of exercise interventions on peak VO2 and HRQoL of people living with HIV/AIDS. Mean differences, standardized mean difference (SMD), and 95% CI were calculated. Fixed- and random-effects Bayesian network meta-analysis were used to compare the relative effectiveness of the different exercise interventions. Results Forty studies met the study criteria, reporting on a total of 1518 patients. When comparing the exercise interventions with usual care (control group) for the peak VO2 outcome, combined aerobic and resistance exercise was the highest ranked exercise intervention with an SMD of 4.2 (95% CI = 2.5 to 5.9), followed by aerobic exercise (SMD = 3.1; 95% CI = 1.4 to 5.1). Compared with aerobic exercise, resistance training, and yoga, combined aerobic and resistance exercise was the best exercise intervention to promote improvement on physical function, general health, mental health, and energy/vitality domains HRQoL. Conclusion The combined aerobic and resistance exercise was the highest ranked exercise intervention to improve peak VO2 and HRQoL. Combined aerobic and resistance exercise should be considered as a component of care for people living with HIV/AIDS. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=151797413&site=ehost-live"
"EFFECTS OF EXERCISE MODALITY DURING ADDITIONAL ""HIGH-INTENSITY INTERVAL TRAINING"" ON AEROBIC FITNESS AND STRENGTH IN POWERLIFTING AND STRONGMAN ATHLETES.","Androulakis-Korakakis, Patroklos; Langdown, Louis; Lewis, Adam; Fisher, James P.; Gentil, Paulo; Paoli, Antonio; Steele, James","Journal of Strength & Conditioning Research",="10648011",,="20180201","32","2","450","8","127731873",,,"Article","AEROBIC exercises; ATHLETES; CARDIOPULMONARY system; CYCLING; EXERCISE tests; HEART beat; RANGE of motion of joints; MUSCLE strength; WEIGHT lifting; ANAEROBIC threshold; RESISTANCE training; CARDIOPULMONARY fitness; EFFECT sizes (Statistics)",,"Powerlifters and strongman athletes have a necessity for optimal levels of muscular strength while maintaining sufficient aerobic capacity to perform and recover between events. High-intensity interval training (HIIT) has been popularized for its efficacy in improving both aerobic fitness and strength but never assessed within the aforementioned population group. This study looked to compare the effect of exercise modality, e. g., a traditional aerobic mode (AM) and strength mode (SM), during HIIT on aerobic fitness and strength. Sixteen well resistance-trained male participants, currently competing in powerlifting and strongman events, completed 8 weeks of approximately effort- and volume-matched HIIT in 2 groups: AM (cycling, n = 8) and SM (resistance training, n = 8). Aerobic fitness was measured as predicted ...O2max using the YMCA 3 minutes step test and strength as predicted 1 repetition maximum from a 4-6RM test using a leg extension. Both groups showed significant improvements in both strength and aerobic fitness. There was a significant between-group difference for aerobic fitness improvements favoring the AM group (p ≤ 0.05). There was no between-group difference for change in strength. Magnitude of change using within-group effect size for aerobic fitness and strength was considered large for each group (aerobic fitness, AM = 2.6, SM = 2.0; strength, AM = 1.9, SM = 1.9). In conclusion, our results support enhanced strength and aerobic fitness irrespective of exercise modality (e.g., traditional aerobic and resistance training). However, powerlifters and strongman athletes wishing to enhance their aerobic fitness should consider HIIT using an aerobic HIIT mode. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=127731873&site=ehost-live"
"Effects of Exercise Mode on Postprandial Metabolism in Humans with Chronic Paraplegia.","MCMILLAN, DAVID W.; MAHER, JENNIFER L.; JACOBS, KEVIN A.; MENDEZ, ARMANDO J.; NASH, MARK S.; BILZON, JAMES L. J.","Medicine & Science in Sports & Exercise",="01959131",,="20210701","53","7","1495","10","151493849",,,"Article","LIPID metabolism; ENERGY metabolism; RESISTANCE training; SPINAL cord injuries; ENDURANCE sports training; EXERCISE tolerance; EXERCISE physiology; EXERCISE intensity; HIGH-intensity interval training; PARAPLEGIA; EXERCISE therapy; FATTY acids; INGESTION; RANDOMIZED controlled trials; STATISTICAL sampling",,"Purpose: The purpose of this study was to assess the acute effects of exercise mode and intensity on postprandial macronutrient metabolism. Methods: Ten healthy men age 39 ± 10 yr with chronic paraplegia (13.2 ± 8.8 yr, ASIA A--C) completed three isocaloric bouts of upper-body exercise and a resting control. After an overnight fast, participants completed circuit resistance exercise (CRE) first and the following conditions in a randomized order, separated by >48 h: i) control (CON), ~45-min seated rest; ii) moderate-intensity continuous exercise (MICE), ~40-min arm cranking at a resistance equivalent to ~30% peak power output (PPO); and iii) high-intensity interval exercise (HIIE), ~30 min arm cranking with resistance alternating every 2 min between 10% PPO and 70% PPO. After each condition, participants completed a mixed-meal tolerance test consisting of a 2510-kJ liquid meal (35% fat, 50% carbohydrate, 15% protein). Blood and expired gas samples were collected at baseline and regular intervals for 150 min after a meal. Results: An interaction (P < 0.001) was observed, with rates of lipid oxidation elevated above CON in HIIE until 60 min after a meal and in CRE at all postprandial time points up to 150 min after a meal. Postprandial blood glycerol was greater in MICE (P = 0.020) and CRE (P = 0.001) compared with CON. Furthermore, nonesterified fatty acid area under the curve had a moderate-to-strong effect in CRE versus MICE and HIIE (Cohen's d = -0.76 and -0.50, respectively). Conclusions: In persons with paraplegia, high-intensity exercise increased postprandial energy expenditure independent of the energy cost of exercise. Furthermore, exercise combining resistance and endurance modes (CRE) showed the greater effect on postprandial lipid oxidation. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=151493849&site=ehost-live"
"Effects of exercise on the physical fitness level of adults with intellectual disability: a systematic review.","Bouzas, Sara; Martínez-Lemos, R. Iván; Ayán, Carlos","Disability & Rehabilitation",="09638288",,="20191220","41","26","3118","23","140466686",,,"Article","AEROBIC exercises; BODY composition; EXERCISE physiology; MEDLINE; PEOPLE with intellectual disabilities; PHYSICAL fitness; SPORTS; CARDIOPULMONARY fitness; CINAHL database; INFORMATION storage & retrieval systems; ONLINE information services; SYSTEMATIC reviews",,"Purpose: To systematically review the existing scientific evidence regarding the effects of physical exercise on the fitness level of people with intellectual disabilities. Methods: Following the checklist of the Preferred Reporting Items for Systematic review and Meta-Analysis Protocols, the PubMed, CINAHL, SPORTDiscus, and Scopus databases were searched using specific keywords up to January 2018. The methodological quality of the studies found was rated by the means of specific scales according to their specific design. Results: A total of 44 studies were selected. The majority of the included studies were randomized controlled trials (n = 17), followed by non-controlled studies (n = 11), non-randomized controlled trials (n = 10), and comparative studies (n = 6). Aerobic, strengthening, and combined exercise programs were the most frequently proposed interventions. Exercise showed to have significant effects on the cardiorespiratory and muscular fitness. Not all the selected studies reported improvements in parameters related to body composition. Conclusions: There is sufficient scientific evidence for the beneficial effects of exercise on the cardiovascular and muscular fitness of adults with mild/moderate ID. There is a need for more studies focused on the impact of physical exercise on the body composition of this population, and those that aim at identifying the impact of alternative interventions. There is a need for basic guidelines that can help rehabilitation professionals to prescribe exercise for maintaining and improving physical fitness in the adults with intellectual disabilities. In adults with intellectual disabilities, aerobic exercise has beneficial effects on cardiovascular and muscular fitness, flexibility, and range of motion. No firm conclusion can be made regarding the effects of aerobic, muscular, and combined training programs on the body composition of adults with intellectual disabilities. Rehabilitation professionals should be aware that scientific evidence regarding the prescription of alternative exercise protocols in adults with intellectual disabilities (i.e. dancing, water-based exercise, animal therapy, etc) is scarce. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=140466686&site=ehost-live"
"Effects of Exercise Sequence and Velocity Loss Threshold During Resistance Training on Following Endurance and Strength Performance During Concurrent Training.","Nájera-Ferrer, Pablo; Pérez-Caballero, Carlos; González-Badillo, Juan José; Pareja-Blanco, Fernando","International Journal of Sports Physiology & Performance",="15550265",,="20210601","16","6","811","7","150444431",,,"Article","RESISTANCE training; ENDURANCE sports training; RUNNING; AEROBIC exercises; OXYGEN consumption; EXERCISE physiology; TREATMENT effectiveness; EXERCISE; MUSCLE strength; LACTATES; BODY movement; JUMPING; FATIGUE (Physiology); RANDOMIZED controlled trials; COMPARATIVE studies; DESCRIPTIVE statistics; CROSSOVER trials",,"Purpose: This study aimed to analyze the response to 4 concurrent training interventions differing in the training sequence and in the velocity loss (VL) threshold during strength training (20% vs 40%) on following endurance and strength performance. Methods: A randomized crossover research design was used. Sixteen trained men performed 4 training interventions consisting of endurance training (ET) followed by resistance training (RT), with 20% and 40% VL, respectively (ET + RT20 and ET + RT40), and RT with 20% and 40% VL, respectively, followed by ET (RT20 + ET and RT40 + ET). The ET consisted of running for 10 minutes at 90% of maximal aerobic velocity. The RT consisted of 3 squat sets with 60% of 1-repetition maximum. A 5-minute rest was given between exercises. The oxygen uptake throughout the ET and repetition velocity during RT were recorded. The blood lactate concentration, vertical jump, and squat velocity were measured at preexercise and after the endurance and strength exercises. Results: The RT40 + ET protocol showed an impaired running time along with higher ventilatory equivalents compared with those protocols that performed the ET without previous fatigue. No significant differences were observed in the repetitions per set performed for a given VL threshold, regardless of the exercise sequence. The protocols consisting of 40%VL induced greater reductions in jump height and squat velocity, along with elevated blood lactate concentration. Conclusions: A high VL magnitude (40%VL) induced higher metabolic and mechanical stress, as well as greater residual fatigue, on the following ET performance. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=150444431&site=ehost-live"
"Effects Of Exercise Training On Aerobic Capacity, Muscular Strength And Depression In TBI Patients.","Gliha, Brad Lee; Marks, Charles R.C.; Wolfe, Tracey; Gellish, Ronald; Jarski, Robert W.","Medicine & Science in Sports & Exercise",="01959131",,="20110502","43",,"131","2","114658443",,,"Article",,,,"https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=114658443&site=ehost-live"
"EFFECTS OF EXERCISE-COGNITIVE ACTIVITY COMBINED TRAINING AND DUAL TASK TRAINING ON GAIT SPEED AND PREFRONTAL CORTEX ACTIVATITON: A FNIRS STUDY.","BALCI, LEYLA ATAŞ; KADAK, KÜBRA SOĞUKKANLI; ERDOĞAN, SINEM BURCU; HANOĞLU, LÜTFÜ","Journal of Exercise Therapy & Rehabilitation",="21488819",,="20181203","5",,"S18","1","134397789",,,"Article","NEAR infrared spectroscopy; PREFRONTAL cortex; ADULTS",,"Purpose: Dual-task training was shown to be more effective in increasing gait speed and improving executive functions compared to single task training. However, a comparative of the effects of dual-task and exercisecognitive activity combined training on gait speed and the blood flow of dorsolateral prefontal cortex in healthy older adults have not been performed. Methods: Fortyfive volunteers were recruited (8 male; 39 female; age range 65-83 years). Subjects were divided into i) control (balance and gait), ii) dual-task training (cognitive activity simultaneous with balance and gait), iii) exercise-cognitive activity combined training (balance and gait activity asynchronously at different times during the same day) groups. Gait speed under single-task and dual-task conditions was obtained at baseline and at the end of training period. Prefrontal cortex activity during Stroop task was assessed by use of functional near infrared spectroscopy (fNIRS) modality before and after the 4 week interventions. Results: Participants performing cognitive activity showed a significant increase in single and dual task gait speed at post-intervention when compared to pre-intervention measurements (p<0.05). Subjects performing balance and gait activity asynchronously at different times during the same day had significantly reduced local brain oxygenation at post-intervention when compared to pre-intervention (p<0.05). Conclusions: Daily activities which require dual task such as walking while talking or crossing streets may be improved to a greater extent with an exercise-cognitive activity combined training protocol involving balance, gait and cognitive activities at different times when compared to the dual task training. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=134397789&site=ehost-live"
"Effects of explosive type strength training on physical performance characteristics in cross-country skiers.","Paavolainen, L.; Haekkinen, K.; Rusko, H.","European Journal of Applied Physiology & Occupational Physiology",="03015548",,="19910101","62","4","251",,"SPH274862",,,"Article","CROSS-country skiing; TRAINING; AEROBIC capacity; PHYSICAL fitness; COMPARATIVE studies",,"To investigate the effects of a combination of simultaneous strength and endurance training on selected neuromuscular and aerobic performance characteristics seven male cross-country skiers underwent training for a period of 6 weeks. The experimental group trained 6-9 times per week with a programme consisting of 34 percent explosive type strength training and 66 percent endurance training during the first 3 weeks of the experiment and 42 percent and 58 percent respectively during the last 3 weeks of the experiment. The total volume of training of the control group (eight skiers) was of the same magnitude but consisted of 85 percent pure endurance training and 15 percent endurance type strength training. The experimental training regime resulted in specific changes in neuromuscular performance. This was demonstrated by improvements (P is less than 0.01) in the maximal heights of rise of the centre of gravity in the squat and countermovement jumps. A significant decrease took place also in the time of rapid isometric force production during experimental training, while no changes occurred in the maximal force of the trained muscles. Aerobic performance characteristics of the experimental group did not change during the experimental training period. No significant changes occurred in neuromuscular or aerobic performance characteristics in the control group. These findings indicated that training-induced improvements in explosive force production may not be fully inhibited by this kind of aerobic training. They also suggested that endurance athletes could undertake explosive type strength training programmes without a concomitant reduction in aerobic capacity, if the overall loading of training were within predefined limits.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPH274862&site=ehost-live"
"Effects of high intensity resistance and low intensity endurance training on myosin heavy chain isoform expression in highly trained rowers.","Liu, Y.; Lormes, W.; Beissnecker, S.; Steinacker, J.M.","International Journal of Sports Medicine",="01724622",,="20030501","24","4","264","7","SPHS-892437",,,"Article","PHYSIOLOGY; PHYSICAL fitness; TRAINING; PHYSICAL training & conditioning; EXERCISE -- Physiological aspects; MYOSIN; MUSCLES; EXERCISE; ROWING; ROWING -- Training; HEART beat; OXYGEN -- Physiological transport; AEROBIC capacity; LACTATES; ELITE athletes; BIOPSY; TESTING; MALES; YOUNG adults; BOYS; TEENAGERS; DENSITOMETRY; ANALYSIS of variance",,"An important mechanism of muscle adaptation to exercise is the alteration of myosin heavy chain (MHC) isoform expression. This study investigated the effect of a high intensity resistance training (HIRT) and a low intensity endurance rowing (LIER) on MHC isoform expression in highly trained human muscle. Six well-trained male rowers underwent a training program consisting of a 3-week HIRT and a 3-week LIER, each followed by one-week of recovery. Muscle samples were taken from vastus lateralis before and at the end of each training and recovery phase. MHC isoform was analyzed by SDS-PAGE using silver stain and MHC isoform mRNA by RT-PCR. The maximum oxygen uptake and power output did not change after the training. MHC isoform composition did not change over HIRT or LIER, and there was a decrease in MHC I with concomitant increase in MHC IIa after recovery following HIRT. HIRT led to mRNA upregulation of MHC I alpha, I beta and IIx (127 %, 148 % and 117 %, respectively, p &lt; 0.05), but not MHC I protein (60 % vs 62 %, NS), and LIER led merely to MHC I beta mRNA upregulation (131 %, p &lt; 0.05). Thus, different responses of MHC isoform expression to HIRT and LIER occurred in the highly trained muscle, and a ""ceiling effect"" in terms of MHC I expression could be observed. The upregulation of MHC I alpha mRNA in human skeletal muscle documented in this study may encourage further observations in this field.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPHS-892437&site=ehost-live"
